query,seed_ortholog,evalue,score,eggNOG_OGs,max_annot_lvl,COG_category,Description,Preferred_name,GOs,EC,KEGG_ko,KEGG_Pathway,KEGG_Module,KEGG_Reaction,KEGG_rclass,BRITE,KEGG_TC,CAZy,BiGG_Reaction,PFAMs
SUPERPANG_6_length=94761_64_1,316273.XCV1476,3.13E-165,462,"COG0528@1|root,COG0528@2|Bacteria,1MV3N@1224|Proteobacteria,1RMHX@1236|Gammaproteobacteria,1X4J2@135614|Xanthomonadales",135614|Xanthomonadales,F,Catalyzes the reversible phosphorylation of UMP to UDP,pyrH,-,2.7.4.22,ko:K09903,"ko00240,ko01100,map00240,map01100",-,R00158,RC00002,"ko00000,ko00001,ko01000",-,-,-,AA_kinase
SUPERPANG_6_length=94761_65_1,190486.XAC1420,0,979,"COG1639@1|root,COG2199@1|root,COG1639@2|Bacteria,COG3706@2|Bacteria,1MVRF@1224|Proteobacteria,1RPH0@1236|Gammaproteobacteria,1X51G@135614|Xanthomonadales",135614|Xanthomonadales,T,Diguanylate cyclase,-,-,-,-,-,-,-,-,-,-,-,-,"GGDEF,HDOD"
SUPERPANG_6_length=94761_66_1,316273.XCV1478,4.81E-195,542,"COG0264@1|root,COG0264@2|Bacteria,1MUS2@1224|Proteobacteria,1RPBJ@1236|Gammaproteobacteria,1X3PJ@135614|Xanthomonadales",135614|Xanthomonadales,J,Associates with the EF-Tu.GDP complex and induces the exchange of GDP to GTP. It remains bound to the aminoacyl-tRNA.EF- Tu.GTP complex up to the GTP hydrolysis stage on the ribosome,tsf,"GO:0003674,GO:0003676,GO:0003723,GO:0003746,GO:0005488,GO:0006412,GO:0006414,GO:0006518,GO:0006807,GO:0008135,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0019538,GO:0034641,GO:0034645,GO:0043043,GO:0043170,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0071704,GO:0097159,GO:1901363,GO:1901564,GO:1901566,GO:1901576",-,ko:K02357,-,-,-,-,"ko00000,ko03012,ko03029",-,-,-,EF_TS
SUPERPANG_6_length=94761_67_1,316273.XCV1479,1.33E-183,511,"COG0052@1|root,COG0052@2|Bacteria,1MU33@1224|Proteobacteria,1RN0Z@1236|Gammaproteobacteria,1X2XU@135614|Xanthomonadales",135614|Xanthomonadales,J,Belongs to the universal ribosomal protein uS2 family,rpsB,"GO:0003674,GO:0003735,GO:0005198,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005840,GO:0006412,GO:0006518,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0015935,GO:0019538,GO:0022626,GO:0022627,GO:0032991,GO:0034641,GO:0034645,GO:0043043,GO:0043170,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044391,GO:0044422,GO:0044424,GO:0044444,GO:0044445,GO:0044446,GO:0044464,GO:0071704,GO:1901564,GO:1901566,GO:1901576,GO:1990904",-,ko:K02967,"ko03010,map03010","M00178,M00179",-,-,"br01610,ko00000,ko00001,ko00002,ko03011",-,-,-,Ribosomal_S2
SUPERPANG_6_length=94761_68_1,316273.XCV1480,6.83E-165,462,"COG3121@1|root,COG3121@2|Bacteria,1R4RJ@1224|Proteobacteria,1T8H2@1236|Gammaproteobacteria,1XAPQ@135614|Xanthomonadales",135614|Xanthomonadales,M,Pilus assembly protein,papD1,-,-,ko:K07346,-,-,-,-,"ko00000,ko02035,ko02044,ko03110",-,-,-,PapD_N
SUPERPANG_6_length=94761_70_1,316273.XCV1481,1.99E-236,651,"COG5430@1|root,COG5430@2|Bacteria,1RM0N@1224|Proteobacteria,1SCED@1236|Gammaproteobacteria,1X75C@135614|Xanthomonadales",135614|Xanthomonadales,S,Spore Coat Protein,-,-,-,-,-,-,-,-,-,-,-,-,SCPU
SUPERPANG_6_length=94761_71_1,316273.XCV1482,0,1528,"COG3188@1|root,COG3188@2|Bacteria,1MWV6@1224|Proteobacteria,1RNWK@1236|Gammaproteobacteria,1X3RZ@135614|Xanthomonadales",135614|Xanthomonadales,NU,outer membrane usher protein,fasD,-,-,ko:K07347,"ko05133,map05133",-,-,-,"ko00000,ko00001,ko02000,ko02035,ko02044",1.B.11.3,-,-,"PapC_C,Usher"
SUPERPANG_6_length=94761_72_1,316273.XCV1483,1.75E-179,500,"COG3121@1|root,COG3121@2|Bacteria,1R4RJ@1224|Proteobacteria,1RY0C@1236|Gammaproteobacteria,1X6JA@135614|Xanthomonadales",135614|Xanthomonadales,NU,Pilus assembly protein,ecpD,-,-,ko:K07346,-,-,-,-,"ko00000,ko02035,ko02044,ko03110",-,-,-,PapD_N
SUPERPANG_6_length=94761_73_1,316273.XCV1484,7.44E-111,320,"COG5430@1|root,COG5430@2|Bacteria,1RJPR@1224|Proteobacteria,1S6UX@1236|Gammaproteobacteria,1X86Z@135614|Xanthomonadales",135614|Xanthomonadales,S,Spore Coat Protein U domain,pru,-,-,-,-,-,-,-,-,-,-,-,SCPU
SUPERPANG_6_length=94761_74_1,316273.XCV1485,3.19E-192,532,"COG0024@1|root,COG0024@2|Bacteria,1MU99@1224|Proteobacteria,1RMHN@1236|Gammaproteobacteria,1X34H@135614|Xanthomonadales",135614|Xanthomonadales,E,Methionine aminopeptidase,map,-,3.4.11.18,ko:K01265,-,-,-,-,"ko00000,ko01000,ko01002",-,-,-,Peptidase_M24
SUPERPANG_6_length=94761_75_1,316273.XCV1486,0,1721,"COG2844@1|root,COG2844@2|Bacteria,1MV54@1224|Proteobacteria,1RN5T@1236|Gammaproteobacteria,1X436@135614|Xanthomonadales",135614|Xanthomonadales,O,"Modifies, by uridylylation and deuridylylation, the PII regulatory proteins (GlnB and homologs), in response to the nitrogen status of the cell that GlnD senses through the glutamine level. Under low glutamine levels, catalyzes the conversion of the PII proteins and UTP to PII-UMP and PPi, while under higher glutamine levels, GlnD hydrolyzes PII-UMP to PII and UMP (deuridylylation). Thus, controls uridylylation state and activity of the PII proteins, and plays an important role in the regulation of nitrogen",glnD,-,2.7.7.59,ko:K00990,"ko02020,map02020",-,-,-,"ko00000,ko00001,ko01000",-,-,-,"ACT,DUF294,GlnD_UR_UTase,HD,NTP_transf_2"
SUPERPANG_6_length=94761_76_1,317013.NY99_17820,5.91E-238,660,"COG2171@1|root,COG2171@2|Bacteria,1MU0Y@1224|Proteobacteria,1RPCS@1236|Gammaproteobacteria,1X35P@135614|Xanthomonadales",135614|Xanthomonadales,E,Belongs to the transferase hexapeptide repeat family,dapD,-,2.3.1.117,ko:K00674,"ko00300,ko01100,ko01120,ko01230,map00300,map01100,map01120,map01230",M00016,R04365,"RC00004,RC01136","ko00000,ko00001,ko00002,ko01000",-,-,-,"Hexapep,Hexapep_2,THDPS_N_2"
SUPERPANG_6_length=94761_77_1,316273.XCV1488,2.22E-85,251,"COG1393@1|root,COG1393@2|Bacteria,1MZ6S@1224|Proteobacteria,1S8TR@1236|Gammaproteobacteria,1X8C4@135614|Xanthomonadales",135614|Xanthomonadales,P,Belongs to the ArsC family,-,-,-,-,-,-,-,-,-,-,-,-,ArsC
SUPERPANG_6_length=94761_78_1,316273.XCV1489,5.63E-275,751,"COG0624@1|root,COG0624@2|Bacteria,1MW6G@1224|Proteobacteria,1RMNQ@1236|Gammaproteobacteria,1X3M7@135614|Xanthomonadales",135614|Xanthomonadales,E,"Catalyzes the hydrolysis of N-succinyl-L,L- diaminopimelic acid (SDAP), forming succinate and LL-2,6- diaminoheptanedioate (DAP), an intermediate involved in the bacterial biosynthesis of lysine and meso-diaminopimelic acid, an essential component of bacterial cell walls",dapE,-,3.5.1.18,ko:K01439,"ko00300,ko01100,ko01120,ko01230,map00300,map01100,map01120,map01230",M00016,R02734,"RC00064,RC00090","ko00000,ko00001,ko00002,ko01000",-,-,-,"M20_dimer,Peptidase_M20"
SUPERPANG_6_length=94761_79_1,316273.XCV1490,0,1142,"COG0367@1|root,COG0367@2|Bacteria,1MW4E@1224|Proteobacteria,1RQ7D@1236|Gammaproteobacteria,1X4DN@135614|Xanthomonadales",135614|Xanthomonadales,E,"converts glutamine, aspartate, ATP, and water to glutamate, asparagine, pyrophosphate and AMP",asnB,-,6.3.5.4,ko:K01953,"ko00250,ko01100,ko01110,map00250,map01100,map01110",-,R00578,RC00010,"ko00000,ko00001,ko01000,ko01002",-,-,-,"Asn_synthase,GATase_7"
SUPERPANG_6_length=94761_80_1,316273.XCV1491,9.99E-196,550,"COG3420@1|root,COG3420@2|Bacteria,1R91N@1224|Proteobacteria,1RZ4P@1236|Gammaproteobacteria,1X440@135614|Xanthomonadales",135614|Xanthomonadales,P,Periplasmic copper-binding protein (NosD),-,-,-,-,-,-,-,-,-,-,-,-,Beta_helix
SUPERPANG_6_length=94761_81_1,317013.NY99_17845,0,1400,"COG4773@1|root,COG4773@2|Bacteria,1QTT0@1224|Proteobacteria,1RNBT@1236|Gammaproteobacteria,1X5NT@135614|Xanthomonadales",135614|Xanthomonadales,P,TonB dependent receptor,-,-,-,ko:K02014,-,-,-,-,"ko00000,ko02000",1.B.14,-,-,"Plug,TonB_dep_Rec"
SUPERPANG_6_length=94761_82_1,316273.XCV1494,0,1595,"COG2366@1|root,COG2366@2|Bacteria,1MVMH@1224|Proteobacteria,1RPRP@1236|Gammaproteobacteria,1X56U@135614|Xanthomonadales",135614|Xanthomonadales,S,Penicillin acylase,-,-,3.5.1.11,ko:K01434,"ko00311,ko01130,map00311,map01130",-,R02170,"RC00166,RC00328","ko00000,ko00001,ko01000,ko01002",-,-,-,Penicil_amidase
SUPERPANG_6_length=94761_83_1,190486.XAC1438,7.11E-114,326,"COG2193@1|root,COG2193@2|Bacteria,1RD4Y@1224|Proteobacteria,1S40G@1236|Gammaproteobacteria,1X6A9@135614|Xanthomonadales",135614|Xanthomonadales,P,"Iron-storage protein, whose ferroxidase center binds Fe(2 ) ions, oxidizes them by dioxygen to Fe(3 ), and participates in the subsequent Fe(3 ) oxide mineral core formation within the central cavity of the protein complex",brf,-,1.16.3.1,ko:K03594,"ko00860,map00860",-,R00078,RC02758,"ko00000,ko00001,ko01000",-,-,-,Ferritin
SUPERPANG_6_length=94761_84_1,316273.XCV1496,2.33E-156,438,"COG2265@1|root,COG2265@2|Bacteria,1QV4X@1224|Proteobacteria,1S273@1236|Gammaproteobacteria,1XD78@135614|Xanthomonadales",135614|Xanthomonadales,H,thiopurine S-methyltransferase activity,tpmT,-,2.1.1.67,ko:K00569,"ko00983,map00983",-,"R08236,R08239,R08246","RC00003,RC00980,RC02277","ko00000,ko00001,ko01000",-,-,-,TPMT
SUPERPANG_7_length=57438_1_1,316273.XCV4391,3.57E-252,696,"COG3135@1|root,COG3135@2|Bacteria,1MUS1@1224|Proteobacteria,1RMD5@1236|Gammaproteobacteria,1X567@135614|Xanthomonadales",135614|Xanthomonadales,Q,protein involved in benzoate metabolism,benE,-,-,ko:K05782,-,-,-,-,"ko00000,ko02000",2.A.46.1,-,-,BenE
SUPERPANG_7_length=57438_2_1,316273.XCV4392,0,1242,"COG4251@1|root,COG4251@2|Bacteria,1NSQ1@1224|Proteobacteria,1RYGM@1236|Gammaproteobacteria,1X5P3@135614|Xanthomonadales",135614|Xanthomonadales,T,Bacteriophytochrome (Light-regulated signal transduction histidine kinase),aphB,-,-,-,-,-,-,-,-,-,-,-,"GAF,PAS,PAS_2,PAS_4,PAS_8,PAS_9,PHY"
SUPERPANG_7_length=57438_3_1,316273.XCV4393,2.65E-138,391,"COG3230@1|root,COG3230@2|Bacteria,1NJ28@1224|Proteobacteria,1SHKZ@1236|Gammaproteobacteria,1X8IU@135614|Xanthomonadales",135614|Xanthomonadales,P,Heme oxygenase,-,-,1.14.99.58,ko:K07215,"ko00860,map00860",-,-,-,"ko00000,ko00001,ko01000",-,-,-,Heme_oxygenase
SUPERPANG_7_length=57438_4_1,316273.XCV4394,1.11E-297,814,"COG0477@1|root,COG2814@2|Bacteria,1MVSH@1224|Proteobacteria,1RYB9@1236|Gammaproteobacteria,1X37U@135614|Xanthomonadales",135614|Xanthomonadales,EGP,Major facilitator superfamily,tetA,-,-,ko:K08151,-,M00668,-,-,"ko00000,ko00002,ko01504,ko02000","2.A.1.2.38,2.A.1.2.39,2.A.1.2.4,2.A.1.2.41,2.A.1.2.68,2.A.1.2.75",-,-,"MFS_1,Sugar_tr"
SUPERPANG_7_length=57438_5_1,316273.XCV4395,0,1425,"COG0676@1|root,COG2951@1|root,COG3409@1|root,COG0676@2|Bacteria,COG2951@2|Bacteria,COG3409@2|Bacteria,1MUZ3@1224|Proteobacteria,1RMQ6@1236|Gammaproteobacteria,1X3YN@135614|Xanthomonadales",135614|Xanthomonadales,M,Lytic murein transglycosylase,-,-,5.1.3.15,ko:K01792,"ko00010,ko01100,ko01110,ko01120,ko01130,map00010,map01100,map01110,map01120,map01130",-,R02739,RC00563,"ko00000,ko00001,ko01000",-,-,-,"Aldose_epim,PG_binding_1,SLT_2"
SUPERPANG_7_length=57438_7_1,316273.XCV4397,6.37E-92,268,"COG3012@1|root,COG3012@2|Bacteria,1MZZK@1224|Proteobacteria,1S9FV@1236|Gammaproteobacteria,1X7KF@135614|Xanthomonadales",135614|Xanthomonadales,S,Belongs to the UPF0225 family,-,-,-,ko:K09858,-,-,-,-,ko00000,-,-,-,SEC-C
SUPERPANG_7_length=57438_8_1,316273.XCV4398,2.49E-179,501,"COG0730@1|root,COG0730@2|Bacteria,1MXNM@1224|Proteobacteria,1T199@1236|Gammaproteobacteria,1XCQ3@135614|Xanthomonadales",135614|Xanthomonadales,S,membrane transporter protein,-,-,-,ko:K07090,-,-,-,-,ko00000,-,-,-,TauE
SUPERPANG_7_length=57438_9_1,316273.XCV4399,0,2468,"COG4913@1|root,COG4913@2|Bacteria,1N16Z@1224|Proteobacteria,1RPTX@1236|Gammaproteobacteria,1X354@135614|Xanthomonadales",135614|Xanthomonadales,S,protein conserved in bacteria,-,-,-,-,-,-,-,-,-,-,-,-,"AAA_29,SbcCD_C"
SUPERPANG_7_length=57438_10_1,316273.XCV4400,1.88E-158,445,"2BW5S@1|root,2Z8JM@2|Bacteria,1R3MV@1224|Proteobacteria,1S1QY@1236|Gammaproteobacteria,1X65M@135614|Xanthomonadales",135614|Xanthomonadales,S,Domain of unknown function (DUF4194),-,-,-,-,-,-,-,-,-,-,-,-,DUF4194
SUPERPANG_7_length=57438_11_1,316273.XCV4401,0,927,"COG4942@1|root,COG4942@2|Bacteria,1MXRZ@1224|Proteobacteria,1RR9E@1236|Gammaproteobacteria,1X5G0@135614|Xanthomonadales",135614|Xanthomonadales,D,Protein of unknown function (DUF3375),-,-,-,-,-,-,-,-,-,-,-,-,DUF3375
SUPERPANG_7_length=57438_12_1,316273.XCV4402,6.24E-143,403,"COG0302@1|root,COG0302@2|Bacteria,1MY3N@1224|Proteobacteria,1RMQM@1236|Gammaproteobacteria,1X3YF@135614|Xanthomonadales",135614|Xanthomonadales,F,GTP cyclohydrolase,folE,"GO:0000166,GO:0001882,GO:0001883,GO:0003674,GO:0003824,GO:0003933,GO:0003934,GO:0005488,GO:0005525,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006066,GO:0006725,GO:0006729,GO:0006732,GO:0006807,GO:0008150,GO:0008152,GO:0008270,GO:0009058,GO:0009108,GO:0009987,GO:0016787,GO:0016810,GO:0016814,GO:0017076,GO:0017144,GO:0018130,GO:0019001,GO:0019238,GO:0019438,GO:0019751,GO:0032549,GO:0032550,GO:0032553,GO:0032555,GO:0032561,GO:0034311,GO:0034312,GO:0034641,GO:0035639,GO:0036094,GO:0042558,GO:0042559,GO:0043167,GO:0043168,GO:0043169,GO:0044237,GO:0044249,GO:0044271,GO:0044281,GO:0044283,GO:0044424,GO:0044464,GO:0046146,GO:0046165,GO:0046173,GO:0046483,GO:0046872,GO:0046914,GO:0051186,GO:0051188,GO:0071704,GO:0097159,GO:0097367,GO:1901265,GO:1901360,GO:1901362,GO:1901363,GO:1901564,GO:1901566,GO:1901576,GO:1901615,GO:1901617",3.5.4.16,ko:K01495,"ko00790,ko01100,map00790,map01100","M00126,M00841,M00842,M00843","R00428,R04639,R05046,R05048","RC00263,RC00294,RC00323,RC00945,RC01188","ko00000,ko00001,ko00002,ko01000",-,-,-,GTP_cyclohydroI
SUPERPANG_7_length=57438_13_1,316273.XCV4403,7.54E-97,282,"COG1846@1|root,COG1846@2|Bacteria,1N19E@1224|Proteobacteria,1SECU@1236|Gammaproteobacteria,1X7K2@135614|Xanthomonadales",135614|Xanthomonadales,K,MarR family transcriptional regulator,slyA,-,-,ko:K06075,-,-,-,-,"ko00000,ko03000",-,-,-,"MarR,MarR_2"
SUPERPANG_7_length=57438_14_1,316273.XCV4404,5.43E-41,135,"2EGFD@1|root,33A7D@2|Bacteria,1NH03@1224|Proteobacteria,1SFZ4@1236|Gammaproteobacteria,1X82V@135614|Xanthomonadales",135614|Xanthomonadales,S,Protein of unknown function (DUF1656),-,-,-,-,-,-,-,-,-,-,-,-,DUF1656
SUPERPANG_7_length=57438_15_1,316273.XCV4405,2.03E-199,555,"COG1566@1|root,COG1566@2|Bacteria,1MWG0@1224|Proteobacteria,1RPC8@1236|Gammaproteobacteria,1X5TD@135614|Xanthomonadales",135614|Xanthomonadales,V,Belongs to the membrane fusion protein (MFP) (TC 8.A.1) family,fusE,-,-,-,-,-,-,-,-,-,-,-,"Biotin_lipoyl_2,HlyD_3"
SUPERPANG_7_length=57438_16_1,316273.XCV4406,0,875,"COG1538@1|root,COG1538@2|Bacteria,1MUA8@1224|Proteobacteria,1S0PB@1236|Gammaproteobacteria,1X575@135614|Xanthomonadales",135614|Xanthomonadales,M,Outer membrane efflux protein,nodT,-,-,-,-,-,-,-,-,-,-,-,OEP
SUPERPANG_7_length=57438_17_1,316273.XCV4407,0,1376,"COG1289@1|root,COG1289@2|Bacteria,1MX9H@1224|Proteobacteria,1RSD7@1236|Gammaproteobacteria,1X46U@135614|Xanthomonadales",135614|Xanthomonadales,S,Fusaric acid resistance protein,-,-,-,-,-,-,-,-,-,-,-,-,FUSC
SUPERPANG_7_length=57438_18_1,316273.XCV4408,0,874,"COG0477@1|root,COG0477@2|Bacteria,1MVZG@1224|Proteobacteria,1RS8V@1236|Gammaproteobacteria,1X423@135614|Xanthomonadales",135614|Xanthomonadales,EGP,Major facilitator superfamily,kgtP,-,-,ko:K03761,-,-,-,-,"ko00000,ko02000",2.A.1.6.2,-,-,Sugar_tr
SUPERPANG_7_length=57438_19_1,316273.XCV4409,1.48E-113,327,"COG4430@1|root,COG4430@2|Bacteria,1RGC9@1224|Proteobacteria,1S3G2@1236|Gammaproteobacteria,1X689@135614|Xanthomonadales",135614|Xanthomonadales,S,"Bacteriocin-protection, YdeI or OmpD-Associated",-,-,-,-,-,-,-,-,-,-,-,-,"DUF1905,OmdA"
SUPERPANG_7_length=57438_20_1,366649.XFF4834R_chr41800,5.97E-209,578,"COG0583@1|root,COG0583@2|Bacteria,1MU2E@1224|Proteobacteria,1RYUY@1236|Gammaproteobacteria,1X6KA@135614|Xanthomonadales",135614|Xanthomonadales,K,LysR substrate binding domain,-,-,-,-,-,-,-,-,-,-,-,-,"HTH_1,LysR_substrate"
SUPERPANG_7_length=57438_21_1,366649.XFF4834R_chr41810,1.49E-186,520,"COG4221@1|root,COG4221@2|Bacteria,1QCKC@1224|Proteobacteria,1T2V3@1236|Gammaproteobacteria,1XCAY@135614|Xanthomonadales",135614|Xanthomonadales,S,Enoyl-(Acyl carrier protein) reductase,-,-,-,-,-,-,-,-,-,-,-,-,adh_short
SUPERPANG_7_length=57438_22_1,366649.XFF4834R_chr41820,3.99E-82,250,"COG1859@1|root,COG1859@2|Bacteria,1RD8B@1224|Proteobacteria,1S3U6@1236|Gammaproteobacteria",1236|Gammaproteobacteria,J,Removes the 2'-phosphate from RNA via an intermediate in which the phosphate is ADP-ribosylated by NAD followed by a presumed transesterification to release the RNA and generate ADP- ribose 1''-2''-cyclic phosphate (APPR P). May function as an ADP- ribosylase,kptA,"GO:0003674,GO:0003824,GO:0016740,GO:0016772",-,ko:K07559,-,-,-,-,"ko00000,ko01000,ko03016",-,-,-,PTS_2-RNA
SUPERPANG_7_length=57438_23_1,316273.XCV4412,2.96E-302,824,"COG1502@1|root,COG1502@2|Bacteria,1MWUW@1224|Proteobacteria,1S1J7@1236|Gammaproteobacteria,1X5N3@135614|Xanthomonadales",135614|Xanthomonadales,I,Cardiolipin synthetase,-,-,-,ko:K06131,"ko00564,ko01100,map00564,map01100",-,R07390,RC00017,"ko00000,ko00001,ko01000",-,-,-,PLDc_2
SUPERPANG_7_length=57438_24_1,316273.XCV4413,2.71E-118,338,"2DUZZ@1|root,32UY8@2|Bacteria,1P65Z@1224|Proteobacteria,1SVAZ@1236|Gammaproteobacteria,1X7MJ@135614|Xanthomonadales",135614|Xanthomonadales,NA,-,-,-,-,-,-,-,-,-,-,-,-,-,-
SUPERPANG_7_length=57438_25_1,340.xcc-b100_4392,1.03E-23,92.4,"29ZEF@1|root,30MDR@2|Bacteria,1QGSS@1224|Proteobacteria,1TE8A@1236|Gammaproteobacteria,1XBG1@135614|Xanthomonadales",135614|Xanthomonadales,NA,-,-,-,-,-,-,-,-,-,-,-,-,-,-
SUPERPANG_7_length=57438_26_1,190486.XAC4313,9.12E-229,634,"COG3668@1|root,COG3668@2|Bacteria,1PZJD@1224|Proteobacteria,1SE0E@1236|Gammaproteobacteria,1X6AB@135614|Xanthomonadales",135614|Xanthomonadales,S,plasmid stabilization,-,-,-,-,-,-,-,-,-,-,-,-,ParE_toxin
SUPERPANG_7_length=57438_27_1,316273.XCV4416,1.23E-121,351,"2C5YQ@1|root,32QV6@2|Bacteria,1RM0V@1224|Proteobacteria,1S8EE@1236|Gammaproteobacteria",1236|Gammaproteobacteria,NA,-,-,-,-,-,-,-,-,-,-,-,-,-,-
SUPERPANG_7_length=57438_28_1,1357279.N018_12650,1.84E-28,112,"COG3755@1|root,COG3755@2|Bacteria,1N1R9@1224|Proteobacteria",1224|Proteobacteria,S,Lysozyme inhibitor LprI,-,-,-,-,-,-,-,-,-,-,-,-,LprI
SUPERPANG_7_length=57438_29_1,454957.IA64_17235,2.14E-207,575,"2DWZT@1|root,342PZ@2|Bacteria,1NXRR@1224|Proteobacteria",1224|Proteobacteria,NA,-,-,-,-,-,-,-,-,-,-,-,-,-,-
SUPERPANG_7_length=57438_30_1,316273.XCV4418,0,1078,"COG2382@1|root,COG2382@2|Bacteria,1R6XH@1224|Proteobacteria,1SPDA@1236|Gammaproteobacteria,1X4S9@135614|Xanthomonadales",135614|Xanthomonadales,P,Enterochelin esterase,-,-,-,-,-,-,-,-,-,-,-,-,Esterase
SUPERPANG_7_length=57438_32_1,316273.XCV4420,6.45E-103,298,"2F131@1|root,33U4I@2|Bacteria,1NV86@1224|Proteobacteria,1SND3@1236|Gammaproteobacteria,1XB9G@135614|Xanthomonadales",135614|Xanthomonadales,NA,-,-,-,-,-,-,-,-,-,-,-,-,-,-
SUPERPANG_7_length=57438_33_1,366649.XFF4834R_chr41930,1.61E-160,450,"COG5395@1|root,COG5395@2|Bacteria",2|Bacteria,T,membrane protein (DUF2306),-,-,-,-,-,-,-,-,-,-,-,-,DUF2306
SUPERPANG_7_length=57438_34_1,316273.XCV4422,2.38E-214,592,"COG0564@1|root,COG0564@2|Bacteria,1MX5Y@1224|Proteobacteria,1RZXE@1236|Gammaproteobacteria,1X44N@135614|Xanthomonadales",135614|Xanthomonadales,J,Pseudouridylate,-,-,"5.4.99.28,5.4.99.29",ko:K06177,-,-,-,-,"ko00000,ko01000,ko03009,ko03016",-,-,-,PseudoU_synth_2
SUPERPANG_7_length=57438_35_1,316273.XCV4423,0,936,"COG2931@1|root,COG2931@2|Bacteria,1R4CQ@1224|Proteobacteria,1SYVI@1236|Gammaproteobacteria,1XAW1@135614|Xanthomonadales",135614|Xanthomonadales,Q,calcium- and calmodulin-responsive adenylate cyclase activity,-,-,-,-,-,-,-,-,-,-,-,-,-
SUPERPANG_7_length=57438_36_1,568768.CM001975_gene3120,2.47E-159,451,"COG0265@1|root,COG0265@2|Bacteria,1QB4K@1224|Proteobacteria,1T6ND@1236|Gammaproteobacteria,2JF5M@204037|Dickeya",1236|Gammaproteobacteria,O,"Trypsin-like serine proteases, typically periplasmic, contain C-terminal PDZ domain",-,-,-,-,-,-,-,-,-,-,-,-,-
SUPERPANG_7_length=57438_37_1,1094184.KWO_0101015,8.68E-112,328,"COG1787@1|root,COG1787@2|Bacteria,1RAHG@1224|Proteobacteria,1RYIV@1236|Gammaproteobacteria,1X6AQ@135614|Xanthomonadales",135614|Xanthomonadales,V,Restriction endonuclease,-,-,-,ko:K07448,-,-,-,-,"ko00000,ko02048",-,-,-,"Mrr_cat,zf-C4_Topoisom"
SUPERPANG_7_length=57438_38_1,316273.XCV0618,3.30E-42,143,"COG2801@1|root,COG2801@2|Bacteria,1MVXQ@1224|Proteobacteria,1RR4F@1236|Gammaproteobacteria,1X632@135614|Xanthomonadales",135614|Xanthomonadales,L,HTH-like domain,-,-,-,ko:K07497,-,-,-,-,ko00000,-,-,-,"HTH_21,rve"
SUPERPANG_7_length=57438_39_1,925775.XVE_2504,1.24E-108,320,"COG2801@1|root,COG2801@2|Bacteria,1MVXQ@1224|Proteobacteria,1S28D@1236|Gammaproteobacteria,1X9WT@135614|Xanthomonadales",135614|Xanthomonadales,L,PFAM Integrase core domain,-,-,-,ko:K07497,-,-,-,-,ko00000,-,-,-,"HTH_21,rve"
SUPERPANG_7_length=57438_41_1,316273.XCV4431,2.59E-119,340,"COG3558@1|root,COG3558@2|Bacteria,1RA64@1224|Proteobacteria,1S252@1236|Gammaproteobacteria,1X6BN@135614|Xanthomonadales",135614|Xanthomonadales,S,Protein of unknown function (DUF1348),-,-,-,ko:K09958,-,-,-,-,ko00000,-,-,-,DUF1348
SUPERPANG_7_length=57438_42_1,316273.XCV4432,2.11E-131,373,"COG1309@1|root,COG1309@2|Bacteria,1R67Z@1224|Proteobacteria,1S63V@1236|Gammaproteobacteria,1X8PG@135614|Xanthomonadales",135614|Xanthomonadales,K,"Bacterial regulatory proteins, tetR family",-,-,-,-,-,-,-,-,-,-,-,-,TetR_N
SUPERPANG_7_length=57438_43_1,316273.XCV4433,1.31E-121,349,"COG1309@1|root,COG1309@2|Bacteria,1PXRI@1224|Proteobacteria,1TEEQ@1236|Gammaproteobacteria,1XA7J@135614|Xanthomonadales",135614|Xanthomonadales,K,"Bacterial regulatory proteins, tetR family",-,-,-,-,-,-,-,-,-,-,-,-,TetR_N
SUPERPANG_7_length=57438_44_1,316273.XCV4434,7.04E-163,457,"COG1028@1|root,COG1028@2|Bacteria,1MXNY@1224|Proteobacteria,1RY5U@1236|Gammaproteobacteria,1X53M@135614|Xanthomonadales",135614|Xanthomonadales,IQ,KR domain,-,-,-,-,-,-,-,-,-,-,-,-,adh_short_C2
SUPERPANG_7_length=57438_46_1,1094184.KWO_0102605,2.65E-76,227,"2947V@1|root,2ZRN5@2|Bacteria,1P8VX@1224|Proteobacteria,1TD9B@1236|Gammaproteobacteria,1XACF@135614|Xanthomonadales",135614|Xanthomonadales,NA,-,-,-,-,-,-,-,-,-,-,-,-,-,-
SUPERPANG_7_length=57438_47_1,316273.XCV4437,0,1286,"COG3975@1|root,COG3975@2|Bacteria,1MUHZ@1224|Proteobacteria,1RR50@1236|Gammaproteobacteria,1X9P0@135614|Xanthomonadales",135614|Xanthomonadales,M,M61 glycyl aminopeptidase,-,-,-,-,-,-,-,-,-,-,-,-,Peptidase_M61
